1	1	<p>Date</p>		1	"2019-04-01 12:54:15"	"2019-04-25 09:00:05"
2	2	"<p>Careertestpro.com is a product of Making Moves B.V. - Copyright Making Moves B.V</p>"		1	"2019-04-01 12:54:15"	"2019-04-02 09:23:41"
3	3	Value		1	"2019-04-01 12:54:15"	"2019-04-25 09:00:43"
4	4	"Enterprising Personality Type"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
5	5	"Conventional Personality Type"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
6	6	"Social Personal Type"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
7	7	"Investigative Personality Type"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
8	8	"Realistic Personality Type"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
9	9	"General Information"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
10	10	"Work Environment"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
11	11	"Characteristic Traits"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
12	12	"Are You?"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
13	13	"Can You?"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
14	14	"Like To?"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
15	15	"CAREERTEST REPORT"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
16	16	"based on"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
17	17	"theory of Dr. John Holland"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
18	18	CONTENT		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
19	19	"Participant information"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
20	20	Introduction		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
21	21	Skills		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
22	22	"Work values"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
23	23	Activities		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
24	24	"Personal behavior"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
25	25	"Occupations / Professions"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
26	26	"Total Score"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
27	27	"Enterpricing Personality Type"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
28	28	"Conventional Personality Type"		1	"2019-04-01 12:54:15"	"2019-04-01 12:54:15"
29	29	"Social Personality Type"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
30	30	"Occupation List Highest Scored Personality Type"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
31	31	"Three-Letter Code Occupations"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
32	32	Conclusion		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
33	33	"What's next?"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
34	34	"CAREERTEST REPORT"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
35	35	"Participant information"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
36	36	Name		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
37	37	Age		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
38	38	Gender		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
39	39	"Test Date"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
40	40	Introduction		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
41	41	"In this report an analysis is made of your personality profile and the professions that will fit this profile based on the career test questionnaire you just made on Careertestpro.com."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
42	42	"The career test that you took is based on the RIASEC Theory of Dr.John Holland. His philosophy is at the root of many other career tests that are used worldwide. This theory is also the most influential in its field on which more than 500 scientific studies are based."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
43	43	"The RIASEC theory is based on 6 different personality characteristics, being:"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
44	44	Doers		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
45	45	Thinkers		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
46	46	Creators		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
47	47	Helpers		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
48	48	Persuaders		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
49	49	Organizers		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
50	50	"These 6 personality characteristics will be discussed in depth later on in this report, so you get to know in detail what they stand for. It is often the case that there are multiple personality types that fit one person. Everyone has something of all of these characteristic features in their personality."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
51	51	"The method used by Careertestpro is based on a combination of a main personality type and two personality subtypes, that also apply to you. The main personality type and the two subtypes are displayed in a three-letter code. This could for instance be RAE as a three-lettercode, meaning a Realistic main personality type with subtypes Artistic and Enterprising. These 6 personality characteristics will be discussed in depth later on in this report, so you get to know in detail what they stand for. It is often the case that there are multiple personality types that fit one person. Everyone has something of all of these characteristic features in their personality."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
52	52	"The method used by Careertestpro is based on a combination of a main personality type and two personality subtypes, that also apply to you. The main personality type and the two subtypes are displayed in a three-letter code. This could for instance be RAE as a three-lettercode, meaning a Realistic main personality type with subtypes Artistic and Enterprising."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
53	53	"The better this three-letter code matches three-letter code for a particular profession, the greater chance that you will find success and happiness within this profession. However, one should also take into account the fact that people themselves influence their professional environment, which means they can also find satisfaction in a profession that appealed less to them initially. It is therefore wise to also review and analyze professional occupations that may not directly match your personal three-letter code but have similarities and personal characteristics in common."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
54	54	"This is why at the end of this report, you will find all possible combinations of your three-letter code to make sure you get a glance at other occupations that might also fit your personality. The composition of your profile is based on a number of factors that have been approached from different perspectives during the questionnaire you filled in."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
55	55	"Through analyzing the activities that appeal to you, your personal behavior, work values and skillset, the personality profile in this report has been created."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
56	56	"On the next pages in this report your scores are displayed. Furthermore, the different personality types will be discussed in detail."		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
57	57	Investigative		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
58	58	Artistic		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
59	59	Conventional		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
60	60	Enterpricing		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
61	61	Social		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
62	62	Realistic		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
63	63	Skills		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
64	64	"Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
65	65	"Work values"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
66	66	"Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
67	67	Activities		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
68	68	"Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
69	69	"Personal behavior"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
70	70	"Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
71	71	"Occupations / Professions"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
72	72	"Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
73	73	"Total Score"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
74	74	"Based on your scores shown in the graph, your personal three-letter code is:"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
75	75	"Main Personality"		1	"2019-04-01 12:54:16"	"2019-04-01 12:54:16"
