"1";"Je scoort zeer laag op het realistische persoonlijkheidstype. Praktische activiteiten waarin je heel direct om kunt gaan met dingen, zoals gereedschap, machines, materialen, planten of dieren liggen jou niet. Technisch inzicht en handvaardigheid zijn dan waarschijnlijk ook niet jouw sterkste punten. Je interesses liggen niet in beroepen waarbij deze zaken een grote rol spelen.
";"1";"Vaardigheden";"R";"zeer laag";;;"You score very low on the realistic personality type. Practical activities where you work directly with things such as tools, machines, materials, plants or animals are not for you. Technical aptitude and dexterity are probably not your strongest skills. Your skills and interests do not match occupations that require those competencies.
"
"2";"Je scoort laag op het realistische persoonlijkheidstype. Praktische activiteiten waarin je heel direct om kunt gaan met dingen, zoals gereedschap, machines, materialen, planten of dieren liggen jou niet. Technisch inzicht en handvaardigheid zijn dan waarschijnlijk ook niet jouw sterkste punten. Je interesses liggen dan niet in beroepen waarbij deze zaken een grote rol spelen.
";"1";"Vaardigheden";"R";"laag";;;"You score low on the realistic personality type. Practical activities where you work directly with stuff like tools, machines, materials, plants or animals are not for you. Technical aptitude and dexterity are probably not your strongest skills. Your skills and interests do not match occupations that require those competencies.
"
"3";"Je scoort onder gemiddeld op het realistische persoonlijkheidstype. Praktische activiteiten waarin je heel direct om kunt gaan met dingen, zoals gereedschap, machines, materialen, planten of dieren liggen jou waarschijnlijk niet echt. Technisch inzicht en handvaardigheid zijn ook niet jouw sterkste punten. Je interesses liggen dan ook niet volledig in beroepen waarbij deze zaken een grote rol spelen. Je vindt andere beroepen interessanter.
";"1";"Vaardigheden";"R";"onder gemiddeld";;;"You score below average on the realistic personality type. Practical activities where you work directly with stuff like tools, machines, materials, plants or animals are probably not for you. Technical aptitude and dexterity are probably not your strongest skills. Your skills and interests do probably not match occupations that require those competencies. You find other occupations more interesting.
"
"4";"Je scoort gemiddeld op het realistische persoonlijkheidstype. Je bent een redelijk praktisch persoon die uit de voeten kan in activiteiten waarin er gewerkt wordt met dingen zoals gereedschap, machines, materialen, planten of dieren. Daarnaast beschik je over technisch inzicht en heb je geen moeite met handvaardigheid. Je interesses liggen in zekere mate in beroepen waarin deze eigenschappen een rol spelen.
";"1";"Vaardigheden";"R";"gemiddeld";;;"You score average on the realistic personality type. You are&nbsp; a relatively practical person who is good at working with things such as tools, machines, materials, plants or animals. You also possess technical aptitude skills and you have no difficulty doing crafts. Your interest are to some extent in occupations where such skills play a role.
"
"5";"Je scoort boven gemiddeld op het realistische persoonlijkheidstype. Je bent waarschijnlijk een praktisch persoon. Jij houdt dan ook van activiteiten waarin je heel direct kunt omgaan met dingen zoals gereedschap, machines, materialen, planten of dieren. Je hebt technisch inzicht en een handvaardige aanleg.
";"1";"Vaardigheden";"R";"boven gemiddeld";;;"You score above average on the realistic personality type. You&#39;re probably a practical person. You like activities where you can work directly with things like tools, machines, materials, plants or animals. You are handy and you possess technical aptitude and craft skills.
"
"6";"Je scoort hoog op het realistische persoonlijkheidstype. Je bent een praktisch persoon. Jij houdt van activiteiten waarin je heel direct kunt omgaan met dingen zoals gereedschap, machines, materialen, planten of dieren. Je hebt technisch inzicht en een handvaardige aanleg.
";"1";"Vaardigheden";"R";"hoog";;;"You score high on the realistic personality type. You are a practical person. You like activities where you can work directly with things like tools, machines, materials, plants or animals. You are handy and you possess technical aptitude and craft skills.
"
"7";"Je scoort zeer hoog op het realistische persoonlijkheidstype. Je bent een praktisch persoon. Jij houdt van activiteiten waarin je heel direct kunt omgaan met dingen zoals gereedschap, machines, materialen, planten of dieren. Je hebt technisch inzicht en een handvaardige aanleg.
";"1";"Vaardigheden";"R";"zeer hoog";;;"You score very high on the realistic personality type. You are a practical person. You like activities where you can work directly with stuff like tools, machines, materials, plants or animals. You are handy and you possess technical aptitude and craft skills.
"
"8";"Je scoort zeer laag op het intellectuele persoonlijkheidstype. Het onderzoeken en doorgronden van natuurkundige, biologische en/of culturele verschijnselen ligt jou niet. Het wetenschappelijk analyseren van zaken behoort waarschijnlijk ook niet tot jouw sterkste punten. Je interesses liggen niet in beroepen waarbij deze zaken een grote rol spelen.
";"1";"Vaardigheden";"I";"zeer laag";;;"You score very low on the investigative&nbsp;personality type. Researching and examining natural, biological and/or cultural phenomena are not for you. The scientific analysis of such matters is probably also not one of your strongest skills. Your interests are not in occupations where such skills play a big role.
"
"9";"Je scoort laag op het intellectuele persoonlijkheidstype. Het onderzoeken en doorgronden van natuurkundige, biologische en/of culturele verschijnselen ligt jou niet. Het wetenschappelijk analyseren van zaken behoort waarschijnlijk ook niet tot jouw sterkste punten. Je interesses liggen niet in beroepen waarbij deze zaken een grote rol spelen.
";"1";"Vaardigheden";"I";"laag";;;"You score low on the investigative&nbsp;personality type. Researching and examining natural, biological and/or cultural phenomena are not for you. The scientific analysis of such matters is probably also not one of your strongest skills. Your skills and interests do not match occupations that require those competencies.
"
"10";"Je scoort onder gemiddeld op het intellectuele persoonlijkheidstype. Het onderzoeken en doorgronden van natuurkundige, biologische en/of culturele verschijnselen ligt jou niet. Het wetenschappelijk analyseren van zaken behoort waarschijnlijk ook niet tot jouw sterkste punten. Je interesses liggen niet in beroepen waarbij deze zaken een grote rol spelen. Je vindt andere beroepen interessanter.
";"1";"Vaardigheden";"I";"onder gemiddeld";;;"You score below average on the investigative personality type. Researching and examining natural, biological and/or cultural phenomena are not for you. The scientific analysis of such matters is probably also not one of your strongest skills. Your skills and interests do not match occupations that require those competencies. You find other occupations more interesting.
"
